_id,operator_registration_number,postal_code,ward_number,ward_name
1806737,STR-2012-FRPHHC,M6H,9.0,Davenport
1806738,STR-2208-JCSPHM,M5A,13.0,Toronto Centre
1806739,STR-2203-HTZKVL,M5S,13.0,Toronto Centre
1806740,STR-2012-HRBHHK,M6A,8.0,Eglinton-Lawrence
1806741,STR-2204-FLKBHB,M6M,5.0,York South-Weston
1806742,STR-2012-FDZBHB,M4X,13.0,Toronto Centre
1806743,STR-2211-FJWDVB,M2K,17.0,Don Valley North
1806744,STR-2301-HQFVHX,M8V,3.0,Etobicoke-Lakeshore
1806745,STR-2209-FSGXVC,M6K,4.0,Parkdale-High Park
1806746,STR-2009-GCXPBF,M1L,20.0,Scarborough Southwest
1806747,STR-2009-GLDPBG,M6J,9.0,Davenport
1806748,STR-2009-GTKPBH,M6J,11.0,University-Rosedale
1806749,STR-2009-HJXPBK,M4R,8.0,Eglinton-Lawrence
1806750,STR-2009-HSDPBL,M6J,10.0,Spadina-Fort York
1806751,STR-2009-HZKPBM,M6N,9.0,Davenport
1806752,STR-2009-FFFVBB,M6R,4.0,Parkdale-High Park
1806753,STR-2009-GCYVBF,M8Y,3.0,Etobicoke-Lakeshore
1806754,STR-2009-HSFVBL,M9B,3.0,Etobicoke-Lakeshore
1806755,STR-2009-HZLVBM,M2L,15.0,Don Valley West
1806756,STR-2009-FFWHBB,M1T,22.0,Scarborough-Agincourt
1806757,STR-2009-FPCHBC,M5A,13.0,Toronto Centre
1806758,STR-2009-GDQHBF,M4G,15.0,Don Valley West
1806759,STR-2009-GLWHBG,M5J,10.0,Spadina-Fort York
1806760,STR-2009-GVCHBH,M2N,18.0,Willowdale
1806761,STR-2009-GFFVBF,M5V,10.0,Spadina-Fort York
1806762,STR-2009-GMLVBG,M6J,10.0,Spadina-Fort York
1806763,STR-2009-GVSVBH,M5T,10.0,Spadina-Fort York
1806764,STR-2009-FHCHBB,M8Z,3.0,Etobicoke-Lakeshore
1806765,STR-2009-GWJHBH,M3H,6.0,York Centre
1806766,STR-2009-HLWHBK,M5J,10.0,Spadina-Fort York
1806767,STR-2009-FHSVBB,M4J,14.0,Toronto-Danforth
1806768,STR-2009-FQYVBC,M4L,19.0,Beaches-East York
